Time_ms,I_mV
1659.3275,1.2309
1661.3291,1.0440
1663.3307,0.9059
1665.3323,0.8144
1667.3339,0.7669
1669.3355,0.7342
1671.3371,0.7184
1673.3387,0.7174
1675.3403,0.7275
1677.3419,0.7464
1679.3435,0.7653
1681.3451,0.7841
1683.3467,0.8013
1685.3483,0.8169
1687.3499,0.8311
1689.3515,0.8453
1691.3531,0.8595
1693.3547,0.8721
1695.3563,0.8831
1697.3579,0.8918
1699.3595,0.8990
1701.3611,0.9045
1703.3627,0.9078
1705.3643,0.9095
1707.3659,0.9108
1709.3675,0.9152
1711.3691,0.9227
1713.3707,0.9295
1715.3723,0.9332
1717.3739,0.9342
1719.3755,0.9362
1721.3771,0.9398
1723.3787,0.9445
1725.3803,0.9493
1727.3819,0.9537
1729.3835,0.9566
1731.3851,0.9578
1733.3867,0.9589
1735.3883,0.9614
1737.3899,0.9656
1739.3915,0.9704
1741.3931,0.9751
1743.3947,0.9789
1745.3963,0.9812
1747.3979,0.9819
1749.3995,0.9819
1751.4011,0.9819
1753.4027,0.9827
1755.4043,0.9850
1757.4059,0.9889
1759.4075,0.9950
1761.4091,1.0028
1763.4107,1.0121
1765.4123,1.0216
1767.4139,1.0311
1769.4155,1.0392
1771.4171,1.0458
1773.4187,1.0504
1775.4203,1.0531
1777.4219,1.0542
1779.4235,1.0565
1781.4251,1.0620
1783.4267,1.0709
1785.4283,1.0823
1787.4299,1.0952
1789.4315,1.1074
1791.4331,1.1164
1793.4347,1.1222
1795.4363,1.1270
1797.4380,1.1317
1799.4396,1.1454
1801.4412,1.1754
1803.4428,1.2217
1805.4444,1.2727
1807.4460,1.3211
1809.4476,1.3591
1811.4492,1.3803
1813.4508,1.3847
1815.4524,1.3742
1817.4540,1.3574
1819.4556,1.3325
1821.4572,1.3024
1823.4588,1.2675
1825.4604,1.2659
1827.4620,1.3085
1829.4636,1.3866
1831.4652,1.4410
1833.4668,1.4639
1835.4684,1.4639
1837.4700,1.4639
1839.4716,1.4647
1841.4732,1.4703
1843.4748,1.4807
1845.4764,1.4969
1847.4780,1.5162
1849.4796,1.5389
1851.4812,1.5643
1853.4828,1.5913
1855.4844,1.6188
1857.4860,1.6448
1859.4876,1.6691
1861.4892,1.6912
1863.4908,1.7117
1865.4924,1.7292
1867.4940,1.7436
1869.4956,1.7547
1871.4972,1.7656
1873.4988,1.7781
1875.5004,1.7922
1877.5020,1.8064
1879.5036,1.8206
1881.5052,1.8322
1883.5068,1.8406
1885.5084,1.8447
1887.5100,1.8434
1889.5116,1.8374
1891.5132,1.8267
1893.5148,1.8146
1895.5164,1.8005
1897.5180,1.7845
1899.5196,1.7668
1901.5212,1.7469
1903.5228,1.7254
1905.5244,1.7020
1907.5260,1.6749
1909.5276,1.6447
1911.5292,1.6083
1913.5308,1.5659
1915.5324,1.5175
1917.5340,1.4721
1919.5356,1.4323
1921.5372,1.3991
1923.5388,1.3677
1925.5404,1.3383
1927.5420,1.3071
1929.5436,1.2727
1931.5452,1.2362
1933.5468,1.2027
1935.5484,1.1722
1937.5500,1.1490
1939.5516,1.1320
1941.5532,1.1210
1943.5548,1.1095
1945.5564,1.0965
1947.5580,1.0823
1949.5596,1.0681
1951.5612,1.0536
1953.5629,1.0375
1955.5645,1.0199
1957.5661,1.0020
1959.5677,0.9856
1961.5693,0.9710
1963.5709,0.9585
1965.5725,0.9476
1967.5741,0.9373
1969.5757,0.9254
1971.5773,0.9119
1973.5789,0.9008
1975.5805,0.8929
1977.5821,0.8896
1979.5837,0.8894
1981.5853,0.8924
1983.5869,0.8957
1985.5885,0.8974
1987.5901,0.8982
1989.5917,0.9003
1991.5933,0.9040
1993.5949,0.9075
1995.5965,0.9093
1997.5981,0.9092
1999.5997,0.9072
2001.6013,0.9037
2003.6029,0.8989
2005.6045,0.8942
2007.6061,0.8897
2009.6077,0.8868
2011.6093,0.8855
2013.6109,0.8855
2015.6125,0.8855
2017.6141,0.8857
2019.6157,0.8874
2021.6173,0.8907
2023.6189,0.8945
2025.6205,0.8969
2027.6221,0.8976
2029.6237,0.8992
2031.6253,0.9023
2033.6269,0.9063
2035.6285,0.9088
2037.6301,0.9096
2039.6317,0.9096
2041.6333,0.9096
2043.6349,0.9096
2045.6365,0.9096
2047.6381,0.9096
2049.6397,0.9096
2051.6413,0.9096
2053.6429,0.9080
2055.6445,0.9001
2057.6461,0.8858
2059.6477,0.8691
2061.6493,0.8556
2063.6509,0.8458
2065.6525,0.8400
2067.6541,0.8373
2069.6557,0.8373
2071.6573,0.8373
2073.6589,0.8371
2075.6605,0.8337
2077.6621,0.8272
2079.6637,0.8202
2081.6653,0.8180
2083.6669,0.8205
2085.6685,0.8252
2087.6701,0.8300
2089.6717,0.8340
2091.6733,0.8365
2093.6749,0.8373
2095.6765,0.8388
2097.6781,0.8417
2099.6797,0.8463
2101.6813,0.8510
2103.6829,0.8558
2105.6845,0.8592
2107.6861,0.8611
2109.6878,0.8610
2111.6894,0.8591
2113.6910,0.8555
2115.6926,0.8519
2117.6942,0.8499
2119.6958,0.8497
2121.6974,0.8515
2123.6990,0.8549
2125.7006,0.8596
2127.7022,0.8644
2129.7038,0.8691
2131.7054,0.8738
2133.7070,0.8786
2135.7086,0.8808
2137.7102,0.8783
2139.7118,0.8711
2141.7134,0.8616
2143.7150,0.8522
2145.7166,0.8441
2147.7182,0.8391
2149.7198,0.8373
2151.7214,0.8373
2153.7230,0.8373
2155.7246,0.8373
2157.7262,0.8373
2159.7278,0.8373
2161.7294,0.8373
2163.7310,0.8373
2165.7326,0.8373
2167.7342,0.8373
2169.7358,0.8373
2171.7374,0.8373
2173.7390,0.8373
2175.7406,0.8373
2177.7422,0.8373
2179.7438,0.8373
2181.7454,0.8373
2183.7470,0.8373
2185.7486,0.8373
2187.7502,0.8373
2189.7518,0.8373
2191.7534,0.8373
2193.7550,0.8373
2195.7566,0.8373
2197.7582,0.8373
2199.7598,0.8373
2201.7614,0.8373
2203.7630,0.8373
2205.7646,0.8373
2207.7662,0.8373
2209.7678,0.8373
2211.7694,0.8373
2213.7710,0.8373
2215.7726,0.8373
2217.7742,0.8373
2219.7758,0.8373
2221.7774,0.8373
2223.7790,0.8373
2225.7806,0.8373
2227.7822,0.8373
2229.7838,0.8373
2231.7854,0.8373
2233.7870,0.8373
2235.7886,0.8373
2237.7902,0.8373
2239.7918,0.8373
2241.7934,0.8373
2243.7950,0.8373
2245.7966,0.8373
2247.7982,0.8373
2249.7998,0.8373
2251.8014,0.8373
2253.8030,0.8373
2255.8046,0.8373
2257.8062,0.8373
2259.8078,0.8373
2261.8094,0.8373
2263.8110,0.8373
2265.8127,0.8373
2267.8143,0.8373
2269.8159,0.8373
2271.8175,0.8373
2273.8191,0.8373
2275.8207,0.8373
2277.8223,0.8373
2279.8239,0.8373
2281.8255,0.8373
2283.8271,0.8373
2285.8287,0.8373
2287.8303,0.8373
2289.8319,0.8373
2291.8335,0.8373
2293.8351,0.8373
2295.8367,0.8373
2297.8383,0.8373
2299.8399,0.8373
2301.8415,0.8373
2303.8431,0.8382
2305.8447,0.8405
2307.8463,0.8445
2309.8479,0.8538
2311.8495,0.8679
2313.8511,0.8860
2315.8527,0.9027
2317.8543,0.9178
2319.8559,0.9320
2321.8575,0.9462
2323.8591,0.9609
2325.8607,0.9772
2327.8623,0.9951
2329.8639,1.0115
2331.8655,1.0248
2333.8671,1.0350
2335.8687,1.0444
2337.8703,1.0539
2339.8719,1.0612
2341.8735,1.0653
2343.8751,1.0663
2345.8767,1.0663
2347.8783,1.0663
2349.8799,1.0710
2351.8815,1.0836
2353.8831,1.1038
2355.8847,1.1208
2357.8863,1.1315
2359.8879,1.1338
2361.8895,1.1314
2363.8911,1.1243
2365.8927,1.1148
2367.8943,1.1053
2369.8959,1.0978
2371.8975,1.0951
2373.8991,1.0971
2375.9007,1.0935
2377.9023,1.0806
2379.9039,1.0586
2381.9055,1.0370
2383.9071,1.0171
2385.9087,0.9981
2387.9103,0.9792
2389.9119,0.9606
2391.9135,0.9436
2393.9151,0.9282
2395.9167,0.9151
2397.9183,0.9036
2399.9199,0.8939
2401.9215,0.8862
2403.9231,0.8801
2405.9247,0.8745
2407.9263,0.8672
2409.9279,0.8584
2411.9295,0.8489
2413.9311,0.8394
2415.9327,0.8316
2417.9343,0.8269
2419.9359,0.8253
2421.9376,0.8268
2423.9392,0.8299
2425.9408,0.8313
2427.9424,0.8249
2429.9440,0.8106
2431.9456,0.7958
2433.9472,0.7857
2435.9488,0.7818
2437.9504,0.7834
2439.9520,0.7896
2441.9536,0.7881
2443.9552,0.7723
2445.9568,0.7409
2447.9584,0.7000
2449.9600,0.6528
2451.9616,0.6260
2453.9632,0.6363
2455.9648,0.6899
2457.9664,0.8011
2459.9680,0.9583
2461.9696,1.1672
2463.9712,1.3967
2465.9728,1.6453
2467.9744,1.8723
